"word","gt","options"
"wedge","triangular","['triangular', 'rectangular', 'circular']"
"flag","rectangular","['triangular', 'rectangular', 'circular']"
"carrot","triangular","['triangular', 'rectangular', 'circular']"
"wheel","circular","['triangular', 'rectangular', 'circular']"
"towel","rectangular","['triangular', 'rectangular', 'circular']"
"disk","circular","['triangular', 'rectangular', 'circular']"
"pyramid","triangular","['triangular', 'rectangular', 'circular']"
"cake","circular","['triangular', 'rectangular', 'circular']"
"pizza","circular","['triangular', 'rectangular', 'circular']"
"board","rectangular","['triangular', 'rectangular', 'circular']"
"moon","circular","['triangular', 'rectangular', 'circular']"
"ball","circular","['triangular', 'rectangular', 'circular']"
"door","rectangular","['triangular', 'rectangular', 'circular']"
"dagger","triangular","['triangular', 'rectangular', 'circular']"
"window","rectangular","['triangular', 'rectangular', 'circular']"
"paper","rectangular","['triangular', 'rectangular', 'circular']"
"arrowhead","triangular","['triangular', 'rectangular', 'circular']"
"plate","circular","['triangular', 'rectangular', 'circular']"
"sail","triangular","['triangular', 'rectangular', 'circular']"
"box","rectangular","['triangular', 'rectangular', 'circular']"
"ice cube","rectangular","['triangular', 'rectangular', 'circular']"
"spade","triangular","['triangular', 'rectangular', 'circular']"
"coin","circular","['triangular', 'rectangular', 'circular']"
"die","rectangular","['triangular', 'rectangular', 'circular']"
"orange","circular","['triangular', 'rectangular', 'circular']"
"nose","triangular","['triangular', 'rectangular', 'circular']"
"corn chip","triangular","['triangular', 'rectangular', 'circular']"
"globe","circular","['triangular', 'rectangular', 'circular']"
"laptop","rectangular","['triangular', 'rectangular', 'circular']"
"brick","rectangular","['triangular', 'rectangular', 'circular']"
"button","circular","['triangular', 'rectangular', 'circular']"
"traffic cone","triangular","['triangular', 'rectangular', 'circular']"
"merry go round","circular","['triangular', 'rectangular', 'circular']"
"teabag","rectangular","['triangular', 'rectangular', 'circular']"
"waffle","rectangular","['triangular', 'rectangular', 'circular']"
"baseball","circular","['triangular', 'rectangular', 'circular']"
"eye","circular","['triangular', 'rectangular', 'circular']"
"slice of pizza","triangular","['triangular', 'rectangular', 'circular']"
"toast","rectangular","['triangular', 'rectangular', 'circular']"
"ring","circular","['triangular', 'rectangular', 'circular']"
"mountain","triangular","['triangular', 'rectangular', 'circular']"
"card","rectangular","['triangular', 'rectangular', 'circular']"
"slice of cake","triangular","['triangular', 'rectangular', 'circular']"
"pancake","circular","['triangular', 'rectangular', 'circular']"
"christmas tree","triangular","['triangular', 'rectangular', 'circular']"
"phone","rectangular","['triangular', 'rectangular', 'circular']"
"ice cream cone","triangular","['triangular', 'rectangular', 'circular']"
"falafel","circular","['triangular', 'rectangular', 'circular']"
"calculator","rectangular","['triangular', 'rectangular', 'circular']"
"tent","triangular","['triangular', 'rectangular', 'circular']"
"clock","circular","['triangular', 'rectangular', 'circular']"
"clothes hanger","triangular","['triangular', 'rectangular', 'circular']"
"book","rectangular","['triangular', 'rectangular', 'circular']"
"potato","circular","['triangular', 'rectangular', 'circular']"
"stamp","rectangular","['triangular', 'rectangular', 'circular']"
"tile","rectangular","['triangular', 'rectangular', 'circular']"
"clown hat","triangular","['triangular', 'rectangular', 'circular']"
"rice cake","circular","['triangular', 'rectangular', 'circular']"
"slice of cheese","rectangular","['triangular', 'rectangular', 'circular']"
"knob","circular","['triangular', 'rectangular', 'circular']"
"napkin","rectangular","['triangular', 'rectangular', 'circular']"
"boulder","circular","['triangular', 'rectangular', 'circular']"
"basketball","circular","['triangular', 'rectangular', 'circular']"
"yield sign","triangular","['triangular', 'rectangular', 'circular']"
"page","rectangular","['triangular', 'rectangular', 'circular']"
"envelope","rectangular","['triangular', 'rectangular', 'circular']"
"doughnut","circular","['triangular', 'rectangular', 'circular']"
"balloon","circular","['triangular', 'rectangular', 'circular']"
"hand fan","triangular","['triangular', 'rectangular', 'circular']"
"file cabinet","rectangular","['triangular', 'rectangular', 'circular']"
"bead","circular","['triangular', 'rectangular', 'circular']"
"bookshelf","rectangular","['triangular', 'rectangular', 'circular']"
"drain cover","circular","['triangular', 'rectangular', 'circular']"
"hamburger","circular","['triangular', 'rectangular', 'circular']"
"folder","rectangular","['triangular', 'rectangular', 'circular']"
"saucer","circular","['triangular', 'rectangular', 'circular']"
"grapefruit","circular","['triangular', 'rectangular', 'circular']"
"tablet","rectangular","['triangular', 'rectangular', 'circular']"
"meatball","circular","['triangular', 'rectangular', 'circular']"
"marble","circular","['triangular', 'rectangular', 'circular']"
"TV","rectangular","['triangular', 'rectangular', 'circular']"
"watch face","circular","['triangular', 'rectangular', 'circular']"
"teepee","triangular","['triangular', 'rectangular', 'circular']"
"desk","rectangular","['triangular', 'rectangular', 'circular']"
"pill","circular","['triangular', 'rectangular', 'circular']"
"notebook","rectangular","['triangular', 'rectangular', 'circular']"
"tire","circular","['triangular', 'rectangular', 'circular']"
"pearl","circular","['triangular', 'rectangular', 'circular']"
"puck","circular","['triangular', 'rectangular', 'circular']"
"sun","circular","['triangular', 'rectangular', 'circular']"
"table","rectangular","['triangular', 'rectangular', 'circular']"
"disc","circular","['triangular', 'rectangular', 'circular']"
"carpet","rectangular","['triangular', 'rectangular', 'circular']"
"prism","triangular","['triangular', 'rectangular', 'circular']"
"guitar pick","triangular","['triangular', 'rectangular', 'circular']"
"medal","circular","['triangular', 'rectangular', 'circular']"
"hula hoop","circular","['triangular', 'rectangular', 'circular']"
"magazine","rectangular","['triangular', 'rectangular', 'circular']"
"frisbee","circular","['triangular', 'rectangular', 'circular']"
"kite","triangular","['triangular', 'rectangular', 'circular']"
"gear","circular","['triangular', 'rectangular', 'circular']"
"penny","circular","['triangular', 'rectangular', 'circular']"
"poster","rectangular","['triangular', 'rectangular', 'circular']"
"mirror","rectangular","['triangular', 'rectangular', 'circular']"
"airplane wing","triangular","['triangular', 'rectangular', 'circular']"
"orb","circular","['triangular', 'rectangular', 'circular']"
"compass","circular","['triangular', 'rectangular', 'circular']"
"cupcake","circular","['triangular', 'rectangular', 'circular']"
"license plate","rectangular","['triangular', 'rectangular', 'circular']"
